id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
1246,Augusto Lima,BRA,male,9/17/1991,2.06,118,basketball,0,0,0,0,1991,25
1247,Augusto Midana,GBS,male,5/20/1984,1.67,74,wrestling,0,0,0,0,1984,32
1248,Augusto Soares,TLS,male,8/22/1986,1.65,76.5,athletics,0,0,0,0,1986,30
1249,Augusto de Paula,BRA,male,6/20/1988,1.82,79,hockey,0,0,0,0,1988,28
1250,Aurea Cruz,PUR,female,1/10/1982,1.8,63,volleyball,0,0,0,0,1982,34
1251,Aurelia Bradeanu,ROU,female,5/5/1979,1.8,75,handball,0,0,0,0,1979,37
1252,Aurelie Alcindor,MRI,female,3/20/1994,1.69,47,athletics,0,0,0,0,1994,22
1253,Aurelie Muller,FRA,female,6/7/1990,1.69,57,aquatics,0,0,0,0,1990,26
1254,Auriane Mallo,FRA,female,10/11/1993,1.8,63,fencing,0,0,0,0,1993,23
1255,Aurimas Adomavicius,LTU,male,9/23/1993,2.04,100,rowing,0,0,0,0,1993,23
1256,Aurimas Didzbalis,LTU,male,6/13/1991,1.72,92,weightlifting,0,0,1,1,1991,25
1257,Aurimas Lankas,LTU,male,9/7/1985,1.78,89,canoe,0,0,1,1,1985,31
1258,Auriole Dongmo,CMR,female,8/3/1990,1.73,95,athletics,0,0,0,0,1990,26
1259,Austin Hack,USA,male,5/17/1992,2.04,99,rowing,0,0,0,0,1992,24
1260,Automne Pavia,FRA,female,1/3/1989,1.71,57,judo,0,0,0,0,1989,27
1261,Avtandili Tchrikishvili,GEO,male,3/18/1991,1.82,80,judo,0,0,0,0,1991,25
1262,Avtar Singh,IND,male,4/3/1992,1.8,90,judo,0,0,0,0,1992,24
1263,Awa Ly Ndiaye,SEN,female,1/15/2000,1.69,53,aquatics,0,0,0,0,2000,16
1264,Axel Augis,FRA,male,12/6/1990,1.72,71,gymnastics,0,0,0,0,1990,26
1265,Axel Harstedt,SWE,male,2/28/1987,1.97,135,athletics,0,0,0,0,1987,29
1266,Axel Muller,ARG,male,11/25/1993,1.83,84,rugby sevens,0,0,0,0,1993,23
1267,Axel Werner,ARG,male,2/28/1996,1.81,82,football,0,0,0,0,1996,20
1268,Axelle Dauwens,BEL,female,12/1/1990,1.71,62,athletics,0,0,0,0,1990,26
1269,Aya Takeuchi,JPN,female,8/5/1986,1.77,68.5,rugby sevens,0,0,0,0,1986,30
1270,Aya Traore,SEN,female,7/27/1983,1.83,75,basketball,0,0,0,0,1983,33
1271,Ayaka Nishimura,JPN,female,5/10/1989,1.65,58,hockey,0,0,0,0,1989,27
1272,Ayaka Suzuki,JPN,female,9/30/1989,1.68,65,rugby sevens,0,0,0,0,1989,27
