id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
9906,Simoya Campbell,JAM,female,3/1/1994,1.68,58,athletics,0,0,0,0,1994,22
9907,Simplice Fotsala,CMR,male,5/9/1989,1.54,75.5,boxing,0,0,0,0,1989,27
9908,Simplice Ribouem,AUS,male,12/5/1982,1.73,93,weightlifting,0,0,0,0,1982,34
9909,Sin Lam Sonia Lo,HKG,female,12/18/1992,1.66,59,sailing,0,0,0,0,1992,24
9910,Sina Tkaltschewitsch,GER,female,5/5/1999,1.6,44,gymnastics,0,0,0,0,1999,17
9911,Sinead Lynch,IRL,female,9/30/1976,1.72,57,rowing,0,0,0,0,1976,40
9912,Sinphet Kruaithong,THA,male,8/22/1995,1.59,55,weightlifting,0,0,1,1,1995,21
9913,Sinta Ozolina,LAT,female,2/26/1988,1.86,77,athletics,0,0,0,0,1988,28
9914,Siobhan Haughey,HKG,female,10/31/1997,1.77,64,aquatics,0,0,0,0,1997,19
9915,Siobhan-Marie O'Connor,GBR,female,11/29/1995,1.73,64,aquatics,0,1,0,1,1995,21
9916,Sione Molia,NZL,male,9/5/1993,1.86,95,rugby sevens,0,0,0,0,1993,23
9917,Siraba Dembele,FRA,female,6/28/1986,1.72,64,handball,0,1,0,1,1986,30
9918,Siri Arun Budcharern,LAO,female,1/12/2002,1.66,63,aquatics,0,0,0,0,2002,14
9919,Siripon Kaewduang-Ngam,THA,female,7/27/1994,1.67,50,sailing,0,0,0,0,1994,22
9920,Siripuch Gulnoi,THA,female,7/17/1993,1.57,63,weightlifting,0,0,0,0,1993,23
9921,Sirish Gurung,NEP,male,8/11/1998,1.58,65,aquatics,0,0,0,0,1998,18
9922,Sisila Seavula,FIJ,female,11/15/1995,1.61,57.5,athletics,0,0,0,0,1995,21
9923,Sitora Hamidova,UZB,female,5/12/1989,1.64,50,athletics,0,0,0,0,1989,27
9924,Siueni Filimone,TGA,male,8/19/1994,1.73,69,athletics,0,0,0,0,1994,22
9925,Siyao Shu,CHN,female,9/12/1992,1.67,52,gymnastics,0,0,0,0,1992,24
9926,Sjef van den Berg,NED,male,4/14/1995,1.83,75,archery,0,0,0,0,1995,21
9927,Sladana Perunovic,MNE,female,3/26/1984,1.7,58,athletics,0,0,0,0,1984,32
9928,Slawomir Szmal,POL,male,10/2/1978,1.86,96,handball,0,0,0,0,1978,38
9929,Sloane Stephens,USA,female,3/20/1993,1.73,64,tennis,0,0,0,0,1993,23
9930,Slobodan Nikic,SRB,male,1/25/1983,1.97,106,aquatics,1,0,0,1,1983,33
9931,Slobodan Soro,BRA,male,12/23/1978,1.96,100,aquatics,0,0,0,0,1978,38
9932,Snjezana Pejcic,CRO,female,7/13/1982,1.7,75,shooting,0,0,0,0,1982,34
9933,So Hee Lee,KOR,female,6/14/1994,1.71,67,badminton,0,0,0,0,1994,22
9934,Sobhi Saied,TUN,male,9/26/1982,1.86,86,handball,0,0,0,0,1982,34
9935,Sofia Andreeva,RUS,female,8/2/1998,1.78,64,aquatics,0,0,0,0,1998,18
9936,Sofia Asoumanaki,GRE,female,5/25/1997,1.9,85,rowing,0,0,0,0,1997,19
9937,Sofia Assefa,ETH,female,11/14/1987,1.67,52,athletics,0,0,0,0,1987,29
9938,Sofia Bekatorou,GRE,female,12/26/1977,1.72,62,sailing,0,0,0,0,1977,39
9939,Sofia Ennaoui,POL,female,8/30/1995,1.58,42,athletics,0,0,0,0,1995,21
9940,Sofia Jakobsson,SWE,female,4/23/1990,1.74,64,football,0,1,0,1,1990,26
9941,Sofia Lodi,ITA,female,1/29/1998,1.75,57,gymnastics,0,0,0,0,1998,18
9942,Sofia Magdalena Mattsson,SWE,female,11/11/1989,1.64,56,wrestling,0,0,1,1,1989,27
9943,Sofia Middleton,CHI,female,3/12/1993,1.68,60,sailing,0,0,0,0,1993,23
9944,Sofia Paldanius,SWE,female,3/16/1979,1.85,75,canoe,0,0,0,0,1979,37
9945,Sofia Polcanova,AUT,female,9/3/1994,1.81,69,table tennis,0,0,0,0,1994,22
9946,Sofia Riga,GRE,female,7/18/1988,1.54,46,athletics,0,0,0,0,1988,28
9947,Sofia Rito,URU,female,11/2/1985,1.55,52,weightlifting,0,0,0,0,1985,31
9948,Sofia Sanchez,ARG,female,8/23/1989,1.67,57,aquatics,0,0,0,0,1989,27
9949,Sofia Yfantidou,GRE,female,1/10/1985,1.62,54,athletics,0,0,0,0,1985,31
9950,Sofian Bouvet,FRA,male,6/2/1989,1.73,63,sailing,0,0,0,0,1989,27
9951,Sofiane Bendebka,ALG,male,8/9/1992,1.7,65,football,0,0,0,0,1992,24
9952,Sofiane Guitone,FRA,male,3/27/1989,1.86,65,rugby sevens,0,0,0,0,1989,27
9953,Sofiane Oumiha,FRA,male,12/23/1994,1.74,65,boxing,0,1,0,1,1994,22
9954,Sofie Skoog,SWE,female,6/7/1990,1.81,65,athletics,0,0,0,0,1990,26
9955,Sofya Velikaya,RUS,female,6/8/1985,1.75,70,fencing,1,1,0,2,1985,31
9956,Sohrab Moradi,IRI,male,9/22/1988,1.7,94,weightlifting,1,0,0,1,1988,28
9957,Sohsuke Takatani,JPN,male,4/5/1989,1.78,81,wrestling,0,0,0,0,1989,27
9958,Sohui Kim,KOR,female,1/29/1994,1.64,50,taekwondo,1,0,0,1,1994,22
9959,Sojeong Yu,KOR,female,6/4/1996,1.68,66,handball,0,0,0,0,1996,20
9960,Sol Mi Kim,PRK,female,11/20/1990,1.55,48,judo,0,0,0,0,1990,26
9961,Solangie Delgado,COL,female,11/9/1989,1.55,57,rugby sevens,0,0,0,0,1989,27
9962,Solomon Bockarie,NED,male,5/18/1987,1.71,72,athletics,0,0,0,0,1987,29
9963,Solonei da Silva,BRA,male,4/18/1982,1.72,65,athletics,0,0,0,0,1982,34
9964,Sona Bernardova,CZE,female,2/2/1976,1.67,54,aquatics,0,0,0,0,1976,40
9965,Sona Poghosyan,ARM,female,6/29/1998,1.58,73,weightlifting,0,0,0,0,1998,18
9966,Sonchat Ratiwatana,THA,male,1/23/1982,1.75,71,tennis,0,0,0,0,1982,34
9967,Sondre Nordstad Moen,NOR,male,1/12/1991,1.725,72.5,athletics,0,0,0,0,1991,25
9968,Soner Demirtas,TUR,male,6/25/1991,1.7,74,wrestling,0,0,1,1,1991,25
9969,Song Gao,CHN,female,4/16/1992,1.9,85,basketball,0,0,0,0,1992,24
9970,Song Guk Kim,PRK,male,10/5/1985,1.67,75,shooting,0,0,1,1,1985,31
9971,Song I Kim,PRK,female,8/10/1994,1.61,55,table tennis,0,0,1,1,1994,22
9972,Song Yu,CHN,female,8/6/1986,1.82,128,judo,0,0,1,1,1986,30
9973,Sonia Aktar,BAN,female,7/15/1997,1.79,103,aquatics,0,0,0,0,1997,19
9974,Sonia Asselah,ALG,female,8/20/1991,1.76,78,judo,0,0,0,0,1991,25
9975,Sonia Franquet,ESP,female,7/3/1980,1.73,60,shooting,0,0,0,0,1980,36
9976,Sonia Malavisi,ITA,female,10/31/1994,1.72,66,athletics,0,0,0,0,1994,22
9977,Sonia Samuels,GBR,female,5/16/1979,1.62,47,athletics,0,0,0,0,1979,37
9978,Sonja Barjaktarovic,MNE,female,9/11/1986,1.8,74,handball,0,0,0,0,1986,30
9979,Sonja Petrovic,SRB,female,2/18/1989,1.89,75,basketball,0,0,1,1,1989,27
9980,Sonke Rothenberger,GER,male,10/14/1994,1.93,73,equestrian,1,0,0,1,1994,22
9981,Sonny Bill Williams,NZL,male,8/3/1985,1.94,106,rugby sevens,0,0,0,0,1985,31
9982,Sonny Webster,GBR,male,3/10/1994,1.78,94,weightlifting,0,0,0,0,1994,22
9983,Sooji Jang,KOR,female,11/21/1987,1.64,57,hockey,0,0,0,0,1987,29
9984,Sophie Ainsworth,GBR,female,6/22/1989,1.73,68,sailing,0,0,0,0,1989,27
9985,Sophie Bray,GBR,female,5/12/1990,1.64,58,hockey,1,0,0,1,1990,26
9986,Sophie Cocks,NZL,female,7/25/1994,1.72,62,hockey,0,0,0,0,1994,22
9987,Sophie Giger,SUI,female,12/21/1995,1.68,54,aquatics,0,0,0,0,1995,21
9988,Sophie Hansson,SWE,female,8/2/1998,1.86,73,aquatics,0,0,0,0,1998,18
9989,Sophie Hitchon,GBR,female,7/11/1991,1.7,75,athletics,0,0,1,1,1991,25
9990,Sophie Mackenzie,NZL,female,3/31/1992,1.72,57,rowing,0,0,0,0,1992,24
9991,Sophie Scheder,GER,female,1/7/1997,1.67,56,gymnastics,0,0,1,1,1997,19
9992,Sophie Schmidt,CAN,female,6/28/1988,1.72,68,football,0,0,1,1,1988,28
9993,Sophie Souwer,NED,female,6/29/1987,1.85,77,rowing,0,0,0,0,1987,29
9994,Sophie van Gestel,NED,female,6/29/1991,1.78,69,volleyball,0,0,0,0,1991,25
9995,Sopita Tanasan,THA,female,12/23/1994,1.54,48,weightlifting,1,0,0,1,1994,22
9996,Sopuruchi Dimgba,NGR,male,3/29/1993,1.68,68,football,0,0,0,0,1993,23
9997,Soren Dahl,DEN,male,7/15/1993,1.93,86,aquatics,0,0,0,0,1993,23
9998,Soren Kjeldsen,DEN,male,5/17/1975,1.7,72,golf,0,0,0,0,1975,41
9999,Soren Opti,SUR,male,5/16/1997,1.67,66,badminton,0,0,0,0,1997,19
10000,Soslan Daurov,BLR,male,1/15/1991,1.64,60,wrestling,0,0,0,0,1991,25
10001,Soslan Ramonov,RUS,male,1/1/1991,1.7,65,wrestling,1,0,0,1,1991,25
10002,Soso Tamarau,NGR,male,5/16/1984,1.67,97,wrestling,0,0,0,0,1984,32
10003,Sosthene Moguenara,GER,female,10/17/1989,1.8,65,athletics,0,0,0,0,1989,27
10004,Sotheara Chov,CAM,female,10/10/1983,1.55,48,wrestling,0,0,0,0,1983,33
10005,Sotiria Neofytou,CYP,female,4/23/1998,1.65,50,aquatics,0,0,0,0,1998,18
10006,Souad Ait Salem,ALG,female,1/6/1979,1.58,50,athletics,0,0,0,0,1979,37
10007,Soufiane Elbakkali,MAR,male,1/7/1996,1.88,70,athletics,0,0,0,0,1996,20
10008,Soufiane Haddi,MAR,male,2/2/1991,1.69,64,cycling,0,0,0,0,1991,25
10009,Soufiyan Bouqantar,MAR,male,8/30/1993,1.73,54,athletics,0,0,0,0,1993,23
10010,Soukphaxay Sithisane,LAO,male,5/1/1996,1.765,64.5,judo,0,0,0,0,1996,20
10011,Soule Soilihi Athoumane,COM,male,3/30/1991,1.8,75,aquatics,0,0,0,0,1991,25
10012,Souleymane Diop Cissokho,FRA,male,7/4/1991,1.79,72,boxing,0,0,1,1,1991,25
10013,Soumyajit Ghosh,IND,male,5/10/1993,1.68,69,table tennis,0,0,0,0,1993,23
10014,Sovijja Pou,CAM,male,7/18/1995,1.69,62,aquatics,0,0,0,0,1995,21
10015,Soyib Kurbonov,UZB,male,2/3/1988,1.86,100,judo,0,0,0,0,1988,28
10016,Sparkle McKnight,TTO,female,12/21/1991,1.58,55,athletics,0,0,0,0,1991,25
10017,Spela Perse,SLO,female,8/4/1996,1.58,50,aquatics,0,0,0,0,1996,20
10018,Spela Ponomarenko Janic,SLO,female,10/2/1981,1.69,65,canoe,0,0,0,0,1981,35
10019,Spencer Turrin,AUS,male,8/29/1991,1.9,92,rowing,0,0,0,0,1991,25
10020,Spencer Wilton,GBR,male,2/1/1973,1.83,83,equestrian,0,1,0,1,1973,43
10021,Spiros Gianniotis,GRE,male,2/19/1980,1.85,78,aquatics,0,1,0,1,1980,36
10022,Spyridon Christos Giannaros,GRE,male,5/12/1992,1.83,72,rowing,0,0,0,0,1992,24
10023,Srabani Nanda,IND,female,5/7/1991,1.64,54,athletics,0,0,0,0,1991,25
10024,Srdjan Mrvaljevic,MNE,male,5/16/1984,1.86,85,judo,0,0,0,0,1984,32
10025,Sreejesh Parattu,IND,male,5/8/1988,1.83,79,hockey,0,0,0,0,1988,28
10026,Sri Wahyuni Agustiani,INA,female,8/13/1994,1.47,47,weightlifting,0,1,0,1,1994,22
10027,Srikanth Kidambi,IND,male,2/7/1993,1.78,66,badminton,0,0,0,0,1993,23
10028,Stacey Michelsen,NZL,female,2/18/1991,1.73,66,hockey,0,0,0,0,1991,25
10029,Stacy Lewis,USA,female,2/16/1985,1.66,60,golf,0,0,0,0,1985,31
10030,Stacy Otieno,KEN,female,9/27/1990,1.67,71,rugby sevens,0,0,0,0,1990,26
10031,Stan Okoye,NGR,male,4/10/1991,1.98,82,basketball,0,0,0,0,1991,25
10032,Stanimira Petrova,BUL,female,12/16/1990,1.7,93,boxing,0,0,0,0,1990,26
10033,Stanislau Shcharbachenia,BLR,male,3/5/1985,2.01,104,rowing,0,0,0,0,1985,31
10034,Stanley Amuzie,NGR,male,2/28/1996,1.71,85,football,0,0,1,1,1996,20
10035,Stanley Joseph,FRA,male,10/24/1991,1.81,66,athletics,0,0,0,0,1991,25
10036,Stanley Kipleting Biwott,KEN,male,4/21/1986,1.52,61,athletics,0,0,0,0,1986,30
10037,Stanly del Carmen,DOM,male,9/20/1995,1.63,62,athletics,0,0,0,0,1995,21
10038,Stavroula Samara,GRE,female,7/8/1994,1.74,56,gymnastics,0,0,0,0,1994,22
10039,Steele Johnson,USA,male,6/16/1996,1.88,79,aquatics,0,1,0,1,1996,20
10040,Steeve Barry,FRA,male,4/18/1991,1.81,85,rugby sevens,0,0,0,0,1991,25
10041,Stefan Bellore Sangala,CGO,female,1/2/1995,1.65,58,aquatics,0,0,0,0,1995,21
10042,Stefan Bircevic,SRB,male,12/13/1989,2.1,104,basketball,0,1,0,1,1989,27
10043,Stefan Brits,RSA,male,1/19/1992,1.83,72,athletics,0,0,0,0,1992,24
10044,Stefan Denifl,AUT,male,9/20/1987,1.79,65,cycling,0,0,0,0,1987,29
10045,Stefan Fegerl,AUT,male,9/12/1988,1.86,69,table tennis,0,0,0,0,1988,28
10046,Stefan Hristov,BUL,male,7/12/1985,1.75,59,cycling,0,0,0,0,1985,31
10047,Stefan Jovic,SRB,male,11/3/1990,1.96,94,basketball,0,1,0,1,1990,26
10048,Stefan Kiraj,GER,male,5/11/1989,1.89,92,canoe,0,0,0,0,1989,27
10049,Stefan Markovic,SRB,male,4/25/1988,1.99,96,basketball,0,1,0,1,1988,28
10050,Stefan Mitrovic,SRB,male,3/29/1988,1.95,91,aquatics,1,0,0,1,1988,28
10051,Stefan Nilsson,SWE,male,8/12/1990,1.86,89,shooting,0,0,0,0,1990,26
10052,Stefana Veljkovic,SRB,female,1/9/1990,1.9,76,volleyball,0,1,0,1,1990,26
10053,Stefani Stoeva,BUL,female,9/23/1995,1.74,64,badminton,0,0,0,0,1995,21
10054,Stefania Pirozzi,ITA,female,12/16/1993,1.7,59,aquatics,0,0,0,0,1993,23
10055,Stefanie Fee,USA,female,3/11/1990,1.68,63,hockey,0,0,0,0,1990,26
10056,Stefanie Horn,ITA,female,1/9/1991,1.68,59,canoe,0,0,0,0,1991,25
10057,Stefaniya Elfutina,RUS,female,1/27/1997,1.7,59,sailing,0,0,1,1,1997,19
10058,Stefano Brecciaroli,ITA,male,11/19/1974,1.77,71,equestrian,0,0,0,0,1974,42
10059,Stefano Giantorno,BRA,male,9/27/1991,1.7,73,rugby sevens,0,0,0,0,1991,25
10060,Stefano Oppo,ITA,male,9/12/1994,1.87,70,rowing,0,0,0,0,1994,22
10061,Stefano Peschiera,PER,male,1/16/1995,1.82,84,sailing,0,0,0,0,1995,21
10062,Stefano Raffaele Marcia,RSA,male,11/23/1993,1.78,80,sailing,0,0,0,0,1993,23
10063,Stefano Selva,SMR,male,8/24/1969,1.7,65,shooting,0,0,0,0,1969,47
10064,Stefano Tempesti,ITA,male,6/9/1979,2.05,100,aquatics,0,0,1,1,1979,37
10065,Stefano la Rosa,ITA,male,9/28/1985,1.7,54,athletics,0,0,0,0,1985,31
10066,Stefanos Dimitriadis,GRE,male,9/8/1989,1.89,82,aquatics,0,0,0,0,1989,27
10067,Stefanos Galanopoulos,GRE,male,2/22/1993,1.97,89,aquatics,0,0,0,0,1993,23
10068,Stefanos Ntouskos,GRE,male,3/29/1997,1.86,73,rowing,0,0,0,0,1997,19
10069,Stefany Castano,COL,female,1/11/1994,1.72,60,football,0,0,0,0,1994,22
10070,Stefany Coronado,BOL,female,9/16/1996,1.73,54,athletics,0,0,0,0,1996,20
10071,Stefany Hernandez,VEN,female,6/15/1991,1.65,65,cycling,0,0,1,1,1991,25
10072,Steffen Deibler,GER,male,7/10/1987,1.86,81,aquatics,0,0,0,0,1987,29
10073,Steffen Fath,GER,male,4/4/1990,1.99,97,handball,0,0,1,1,1990,26
10074,Steffen Peters,USA,male,9/18/1964,1.73,68,equestrian,0,0,1,1,1964,52
10075,Steffen Weinhold,GER,male,7/19/1986,1.91,94,handball,0,0,1,1,1986,30
10076,Steffi Kriegerstein,GER,female,11/3/1992,1.78,70,canoe,0,1,0,1,1992,24
10077,Stella Akakpo,FRA,female,2/28/1994,1.66,60,athletics,0,0,0,0,1994,22
10078,Stella Chesang,UGA,female,12/1/1996,1.655,59.5,athletics,0,0,0,0,1996,20
10079,Stepan Maryanyan,RUS,male,9/21/1991,1.65,59,wrestling,0,0,0,0,1991,25
10080,Steph Catley,AUS,female,1/26/1994,1.71,60,football,0,0,0,0,1994,22
10081,Stephan Feck,GER,male,2/17/1990,1.83,79,aquatics,0,0,0,0,1990,26
10082,Stephan Krueger,GER,male,11/29/1988,1.87,86,rowing,0,0,0,0,1988,28
10083,Stephan de Freitas Barcha,BRA,male,10/27/1989,1.8,78,equestrian,0,0,0,0,1989,27
10084,Stephane Smith,BRA,male,5/15/1989,1.73,70,hockey,0,0,0,0,1989,27
10085,Stephanie Au,HKG,female,5/30/1992,1.72,56,aquatics,0,0,0,0,1992,24
10086,Stephanie Brieussel,FRA,female,1/29/1974,1.69,55,equestrian,0,0,0,0,1974,42
10087,Stephanie Enright,PUR,female,12/15/1990,1.79,56,volleyball,0,0,0,0,1990,26
10088,Stephanie Fotso Mogoung,CMR,female,9/25/1987,1.84,78,volleyball,0,0,0,0,1987,29
10089,Stephanie Horner,CAN,female,3/19/1989,1.8,69,aquatics,0,0,0,0,1989,27
10090,Stephanie Labbe,CAN,female,10/10/1986,1.78,63,football,0,0,1,1,1986,30
10091,Stephanie Lovell,LCA,female,9/8/1995,1.6,62,sailing,0,0,0,0,1995,21
10092,Stephanie Malherbe,RSA,female,4/5/1996,1.62,59,football,0,0,0,0,1996,20
10093,Stephanie Meadow,IRL,female,1/20/1992,1.63,64,golf,0,0,0,0,1992,24
10094,Stephanie Morton,AUS,female,11/28/1990,1.77,77,cycling,0,0,0,0,1990,26
10095,Stephanie Pohl,GER,female,10/21/1987,1.6,51,cycling,0,0,0,0,1987,29
10096,Stephanie Talbot,AUS,female,6/15/1994,1.86,87,basketball,0,0,0,0,1994,22
10097,Stephanie Tirode,FRA,female,5/1/1975,1.65,78,shooting,0,0,0,0,1975,41
10098,Stephanie Twell,GBR,female,8/17/1989,1.68,57,athletics,0,0,0,0,1989,27
10099,Stephanie Vogt,LIE,female,2/15/1990,1.67,65,tennis,0,0,0,0,1990,26
10100,Stephen Bird,AUS,male,5/11/1988,1.89,86,canoe,0,0,0,0,1988,28
10101,Stephen Cummings,GBR,male,3/19/1981,1.9,75,cycling,0,0,0,0,1981,35
10102,Stephen Jenness,NZL,male,6/7/1990,1.79,76,hockey,0,0,0,0,1990,26
10103,Stephen Jones,NZL,male,4/29/1993,1.92,95,rowing,0,0,0,0,1993,23
10104,Stephen Kasprzyk,USA,male,2/14/1982,2.01,103,rowing,0,0,0,0,1982,34
10105,Stephen Kiprotich,UGA,male,2/27/1989,1.945,105.5,athletics,0,0,0,0,1989,27
10106,Stephen Lambdin,USA,male,3/9/1988,1.88,108,taekwondo,0,0,0,0,1988,28
10107,Stephen Milne,GBR,male,4/29/1994,1.86,76,aquatics,0,1,0,1,1994,22
10108,Stephen Mokoka,RSA,male,1/31/1985,1.57,52,athletics,0,0,0,0,1985,31
10109,Stephen Mozia,NGR,male,8/16/1993,1.91,124,athletics,0,0,0,0,1993,23
10110,Stephen Newbold,BAH,male,8/5/1994,1.825,99.5,athletics,0,0,1,1,1994,22
10111,Stephen Parez,FRA,male,8/1/1994,1.74,75,rugby sevens,0,0,0,0,1994,22
10112,Stephenie Ann McPherson,JAM,female,11/25/1988,1.73,57,athletics,0,1,0,1,1988,28
10113,Stevan Pletikosic,SRB,male,3/14/1972,1.84,81,shooting,0,0,0,0,1972,44
10114,Steve Guerdat,SUI,male,6/10/1982,1.82,70,equestrian,0,0,0,0,1982,34
10115,Steve Johnson,USA,male,12/24/1989,1.88,86,tennis,0,0,1,1,1989,27
10116,Steve Morabito,SUI,male,1/30/1983,1.87,73,cycling,0,0,0,0,1983,33
10117,Steven Burke,GBR,male,3/4/1988,1.83,78,cycling,1,0,0,1,1988,28
10118,Steven Gardiner,BAH,male,9/12/1995,1.88,73.33333333,athletics,0,0,1,1,1995,21
10119,Steven Gerard Donnelly,IRL,male,9/7/1988,1.8,68.66666667,boxing,0,0,0,0,1988,28
10120,Steven Kruijswijk,NED,male,6/7/1987,1.77,64,cycling,0,0,0,0,1987,29
10121,Steven Lopez,USA,male,11/9/1978,1.91,83,taekwondo,0,0,0,0,1978,38
10122,Steven Marshall,CAN,male,11/23/1989,1.93,87,volleyball,0,0,0,0,1989,27
10123,Steven Scott,GBR,male,1/10/1985,1.72,84,shooting,0,0,1,1,1985,31
10124,Stewart Innes,GBR,male,5/20/1991,1.97,97,rowing,0,0,0,0,1991,25
10125,Stian Skjerahaug,NOR,male,3/8/1992,1.71,66,gymnastics,0,0,0,0,1992,24
10126,Stig-Andre Berge,NOR,male,7/20/1983,1.72,69,wrestling,0,0,1,1,1983,33
10127,Stina Blackstenius,SWE,female,2/5/1996,1.73,72,football,0,1,0,1,1996,20
10128,Stina Gardell,SWE,female,3/28/1990,1.72,70,aquatics,0,0,0,0,1990,26
10129,Stina Troest,DEN,female,1/17/1994,1.7,59,athletics,0,0,0,0,1994,22
10130,Stine Bredal Oftedal,NOR,female,9/25/1991,1.68,69,handball,0,0,1,1,1991,25
10131,Stine Nielsen,DEN,female,2/9/1991,1.63,79,shooting,0,0,0,0,1991,25
10132,Stipe Zunic,CRO,male,12/13/1990,1.93,134,athletics,0,0,0,0,1990,26
10133,Stsiapan Rahautsou,BLR,male,5/29/1986,1.74,58,athletics,0,0,0,0,1986,30
10134,Stuart Dutamby,FRA,male,4/24/1994,1.76,74,athletics,0,0,0,0,1994,22
10135,Stuart Farquhar,NZL,male,3/15/1982,1.87,98,athletics,0,0,0,0,1982,34
10136,Stuart McNay,USA,male,8/1/1981,1.71,65,sailing,0,0,0,0,1981,35
10137,Stuart Tinney,AUS,male,12/7/1964,1.8,71,equestrian,0,0,1,1,1964,52
10138,Su Ji Kim,KOR,female,7/11/1987,1.87,68,volleyball,0,0,0,0,1987,29
10139,Su Oh,AUS,female,5/23/1996,1.68,73,golf,0,0,0,0,1996,20
10140,Suad Natiq,IRQ,male,3/19/1994,1.85,78,football,0,0,0,0,1994,22
10141,Subenrat Insaeng,THA,female,2/10/1994,1.82,115,athletics,0,0,0,0,1994,22
10142,Sudha Singh,IND,female,6/25/1986,1.58,45,athletics,0,0,0,0,1986,30
10143,Sudirman Hadi,INA,male,3/9/1996,1.71,76,athletics,0,0,0,0,1996,20
10144,Sue Bird,USA,female,10/16/1980,1.75,66,basketball,1,0,0,1,1980,36
10145,Suehiro Ishikawa,JPN,male,9/27/1979,1.69,56,athletics,0,0,0,0,1979,37
10146,Sugoi Uriarte,ESP,male,5/14/1984,1.72,66,judo,0,0,0,0,1984,32
10147,Suguru Osako,JPN,male,5/23/1991,1.7,52,athletics,0,0,0,0,1991,25
10148,Suhrob Khodjaev,UZB,male,5/21/1993,1.85,120,athletics,0,0,0,0,1993,23
10149,Sukanya Srisurat,THA,female,5/3/1995,1.55,57,weightlifting,1,0,0,1,1995,21
10150,Sukhi Panesar,CAN,male,12/26/1993,1.8,75,hockey,0,0,0,0,1993,23
10151,Sulaiman Hamad,KSA,male,5/19/1994,1.77,66,judo,0,0,0,0,1994,22
10152,Suleyman Atli,TUR,male,7/27/1994,1.68,57,wrestling,0,0,0,0,1994,22
10153,Sultan Duzelbayev,KAZ,male,3/12/1994,1.76,46,archery,0,0,0,0,1994,22
10154,Sultan Haydar,TUR,female,5/23/1987,1.7,55,athletics,0,0,0,0,1987,29
10155,Sultan Mubarak Al-Dawoodi,KSA,male,6/16/1977,1.92,86,athletics,0,0,0,0,1977,39
10156,Sumeeth Reddy B.,IND,male,9/26/1991,1.82,64,badminton,0,0,0,0,1991,25
10157,Sumin Choi,KOR,female,1/9/1990,1.77,64,handball,0,0,0,0,1990,26
10158,Sumiya Dorjsuren,MGL,female,3/11/1991,1.6,59,judo,0,1,0,1,1991,25
10159,Sumiya Erdenechimeg,MGL,female,2/28/1990,1.59,53,wrestling,0,0,0,0,1990,26
10160,Sunayna Wahi,SUR,female,8/14/1990,1.645,62.5,athletics,0,0,0,0,1990,26
10161,Sunette Viljoen,RSA,female,10/6/1983,1.7,72,athletics,0,1,0,1,1983,33
10162,Sung Hyun Ko,KOR,male,5/21/1987,1.82,85,badminton,0,0,0,0,1987,29
10163,Sungmin Kim,KOR,male,6/29/1987,1.9,130,judo,0,0,0,0,1987,29
10164,Sungyun Gu,KOR,male,6/27/1994,1.95,82,football,0,0,0,0,1994,22
10165,Sunhee Woo,KOR,female,7/1/1978,1.71,58,handball,0,0,0,0,1978,38
10166,Sunil Sowmarpet,IND,male,5/6/1989,1.76,68,hockey,0,0,0,0,1989,27
10167,Sunita Lakra,IND,female,6/11/1991,1.58,57,hockey,0,0,0,0,1991,25
10168,Sunwoo Kim,KOR,female,10/7/1996,1.65,57,modern pentathlon,0,0,0,0,1996,20
10169,Suping Meng,CHN,female,7/17/1989,1.73,120,weightlifting,1,0,0,1,1989,27
10170,Suraju Saka,CGO,male,5/5/1976,1.7,68,table tennis,0,0,0,0,1976,40
10171,Surender Kumar,IND,male,11/23/1993,1.79,77,hockey,0,0,0,0,1993,23
10172,Susan Kuijken,NED,female,7/8/1986,1.72,54,athletics,0,0,0,0,1986,30
10173,Susana Costa,POR,female,9/22/1984,1.77,64,athletics,0,0,0,0,1984,32
10174,Susann Bjornsen,NOR,female,5/28/1993,1.91,72,aquatics,0,0,0,0,1993,23
10175,Susanna Kallur,SWE,female,2/16/1981,1.7,62,athletics,0,0,0,0,1981,35
10176,Susannah Townsend,GBR,female,7/28/1989,1.68,61,hockey,1,0,0,1,1989,27
10177,Susanne Grainger,CAN,female,12/30/1990,1.88,86,rowing,0,0,0,0,1990,26
10178,Sushila Pukhrambam,IND,female,2/25/1992,1.52,52,hockey,0,0,0,0,1992,24
10179,Suthasini Sawettabut,THA,female,12/9/1994,1.68,63,table tennis,0,0,0,0,1994,22
10180,Sutiya Jiewchaloemmit,THA,female,5/3/1986,1.69,61,shooting,0,0,0,0,1986,30
10181,Suvi Mikkonen,FIN,female,7/11/1988,1.64,57,taekwondo,0,0,0,0,1988,28
10182,Suyeon Back,KOR,female,7/1/1991,1.73,61,aquatics,0,0,0,0,1991,25
10183,Suzana Lazovic,MNE,female,1/28/1992,1.78,72,handball,0,0,0,0,1992,24
10184,Suzann Pettersen,NOR,female,4/7/1981,1.736666667,66.66666667,golf,0,0,0,0,1981,35
10185,Suzanne Hearn,AUS,female,2/13/1956,1.693333333,61.33333333,equestrian,0,0,0,0,1956,60
10186,Suzuka Hasegawa,JPN,female,1/25/2000,1.65,56,aquatics,0,0,0,0,2000,16
10187,Sven Bender,GER,male,4/27/1989,1.85,73,football,0,1,0,1,1989,27
10188,Sven Erik Bystrom,NOR,male,1/21/1992,1.87,80.5,cycling,0,0,0,0,1992,24
